Rank,Ticker,Last_Price,Momentum_14d,Vol_Surge,Range_Pos_325,Quant_Score
394,TJX,155.66,-2.0,0.18,0.8648,-0.3058
395,ESS,251.51,-6.89,0.21,0.2144,-0.3164
396,RBLX,56.49,-10.6,0.36,0.0832,-0.3181
397,BIO,263.1,-5.61,0.18,0.3184,-0.3186
398,VNET,10.52,-1.46,0.39,0.5568,-0.3208
399,GPC,105.4,-12.34,0.27,0.0954,-0.3217
400,MANU,16.01,-1.72,0.36,0.5211,-0.3253
401,TMUS,216.9,-4.02,0.21,0.3985,-0.3295
402,NMR,7.43,-1.62,0.38,0.5434,-0.3366
403,MDLZ,54.55,-6.58,0.29,0.1788,-0.3367
404,O,65.11,-1.15,0.35,0.8563,-0.3394
405,SWKS,55.14,-4.76,0.35,0.2066,-0.341
406,CORZ,16.49,-1.39,0.42,0.5901,-0.3438
407,AES,14.23,-2.05,0.29,0.6016,-0.3592
408,BBWI,19.55,-3.72,0.48,0.2051,-0.3659
409,ARR,17.17,-1.01,0.48,0.7594,-0.372
410,ONON,37.66,-9.13,0.37,0.1105,-0.3745
411,MO,67.9,-1.35,0.31,0.8902,-0.377
412,HLF,15.17,-4.43,0.13,0.6595,-0.3787
413,AVGO,324.36,-1.13,0.49,0.6765,-0.3795
414,BND,73.54,-1.16,0.42,0.7924,-0.3846
415,ANF,82.54,-12.45,0.18,0.1724,-0.3859
416,GILD,145.46,-2.18,0.21,0.8338,-0.3885
417,TSN,60.78,-2.14,0.27,0.6843,-0.3953
418,XLF,49.03,-1.95,0.42,0.4915,-0.4063
419,CPRI,18.61,-1.72,0.59,0.4113,-0.4148
420,TECH,50.83,-6.77,0.4,0.1542,-0.4168
421,EIDO,15.52,-2.43,0.58,0.2986,-0.4174
422,CROX,78.55,-18.14,0.22,0.1077,-0.4383
423,EOSE,5.82,-5.65,0.4,0.1934,-0.4386
424,NKE,53.98,-9.69,0.44,0.1027,-0.439
425,SPLV,75.0,-1.32,0.43,0.7698,-0.4398
426,NU,14.06,-2.47,0.35,0.507,-0.4404
427,NCLH,19.28,-4.68,0.28,0.3364,-0.4475
428,RKLB,68.75,-1.22,0.58,0.6367,-0.4478
429,F,11.74,-2.46,0.34,0.5478,-0.4583
430,PSA,300.18,-3.93,0.2,0.5747,-0.4584
431,VCSH,79.1,-0.78,0.69,0.857,-0.4639
432,OTLY,10.21,-2.41,0.59,0.3279,-0.465
433,FXI,36.28,-2.09,0.36,0.6192,-0.4666
434,CTAS,192.26,-6.29,0.28,0.2736,-0.4812
435,AFL,109.4,-3.06,0.26,0.6056,-0.4887
436,SAN,10.85,-1.66,0.41,0.7304,-0.4936
437,KSS,13.28,-4.43,0.29,0.3852,-0.4993
438,OMC,78.19,-3.46,0.4,0.3611,-0.5046
439,RACE,331.65,-42.27,0.63,0.0191,-0.5061
440,HAL,34.13,-1.49,0.4,0.8539,-0.5074
441,ALLY,36.58,-3.93,0.3,0.4355,-0.5118
442,MBB,94.79,-1.43,0.44,0.8271,-0.5182
443,QCOM,130.85,-13.01,0.27,0.1498,-0.519
444,SCHD,30.83,-0.81,0.75,0.8729,-0.5236
445,ALC,76.85,-7.28,0.38,0.1941,-0.5308
446,RIOT,14.55,-1.95,0.58,0.4711,-0.5339
447,CDNS,284.89,-5.74,0.23,0.4089,-0.54
448,HBAN,15.41,-1.61,0.69,0.4857,-0.5416
449,AMCR,40.68,-8.85,0.3,0.2076,-0.5463
450,JEPQ,56.62,-0.96,0.66,0.8676,-0.5465
451,KEY,19.12,-1.67,0.53,0.635,-0.5609
452,ACAD,21.02,-3.57,0.31,0.51,-0.571
453,SNN,33.02,-2.95,0.3,0.6451,-0.5758
454,YUMC,52.61,-3.08,0.28,0.6885,-0.5889
